restaurant_id,restaurant_name,cuisine_type,city,rating
1,Star Express,Burgers,Pune,3.3
2,Star Junction,Thai,Delhi,3.5
3,Taste Junction,Chinese,Bangalore,4.1
4,Urban Delight,Desserts,Surat,3.5
5,Royal Bites,Chinese,Pune,3.1
6,Urban Palace,Burgers,Surat,4.1
7,Taste Junction,Biryani,Surat,3.8
8,Classic Delight,Chinese,Bangalore,4.6
9,Golden Hub,Burgers,Delhi,3.0
10,Desi Bites,South Indian,Delhi,4.8
11,Classic Cafe,North Indian,Mumbai,4.4
12,Star Bites,South Indian,Chennai,4.0
13,Royal Delight,Burgers,Hyderabad,3.1
14,Taste Junction,Chinese,Bangalore,3.8
15,Golden Kitchen,North Indian,Pune,4.7
16,Urban Junction,Thai,Jaipur,4.8
17,Star Junction,Chinese,Jaipur,2.9
18,Bombay Junction,Desserts,Kolkata,3.8
19,Star Palace,Biryani,Ahmedabad,3.8
20,Royal Junction,Burgers,Pune,3.5
21,Golden Palace,North Indian,Mumbai,3.8
22,Golden Corner,Burgers,Ahmedabad,3.8
23,Classic Junction,Burgers,Mumbai,4.4
24,Taste Point,Pizza,Mumbai,3.9
25,Fresh Delight,Sushi,Kolkata,3.5
26,Golden Delight,Continental,Hyderabad,3.2
27,Desi Hub,Sushi,Surat,4.5
28,Taste Palace,Sushi,Chennai,3.5
29,Royal Express,Chinese,Chennai,2.8
30,Classic Point,Thai,Chennai,4.3
31,Classic Hub,Biryani,Mumbai,2.9
32,Star Kitchen,Chinese,Delhi,3.2
33,Golden Junction,North Indian,Hyderabad,2.7
34,Spice Junction,Pizza,Pune,3.6
35,Classic Corner,Thai,Mumbai,3.3
36,Golden Kitchen,Burgers,Kolkata,2.7
37,Classic Express,Pizza,Chennai,4.5
38,Spice Bites,Pizza,Kolkata,4.4
39,Classic Hub,North Indian,Hyderabad,3.7
40,Royal Cafe,Pizza,Ahmedabad,3.5
41,Taste Corner,Chinese,Mumbai,4.4
42,Star Cafe,South Indian,Chennai,3.7
43,Taste Hub,Biryani,Mumbai,4.7
44,Fresh Bites,Pizza,Kolkata,3.3
45,Golden Palace,Desserts,Delhi,3.5
46,Fresh Kitchen,North Indian,Surat,4.5
47,Classic Point,Chinese,Pune,4.4
48,Fresh Express,Thai,Delhi,4.2
49,Urban Kitchen,North Indian,Pune,4.1
50,Star Bites,Chinese,Ahmedabad,3.1
51,Star Corner,Thai,Hyderabad,2.6
52,Desi Corner,Chinese,Chennai,4.7
53,Classic Junction,Sushi,Chennai,3.9
54,Classic Hub,Desserts,Bangalore,3.9
55,Urban Junction,Burgers,Surat,4.8
56,Star Express,South Indian,Jaipur,2.9
57,Taste Palace,Sushi,Pune,3.6
58,Star Delight,Chinese,Mumbai,4.0
59,Urban Point,Pizza,Pune,4.3
60,Star Delight,Pizza,Jaipur,4.2
61,Star Express,Desserts,Chennai,3.3
62,Urban Bites,South Indian,Jaipur,4.1
63,Spice Express,Chinese,Mumbai,3.0
64,Classic Hub,South Indian,Mumbai,3.9
65,Desi Junction,Sushi,Surat,4.3
66,Taste Kitchen,Biryani,Hyderabad,4.0
67,Royal Kitchen,Pizza,Ahmedabad,4.8
68,Royal Junction,North Indian,Pune,3.9
69,Desi Corner,North Indian,Surat,3.2
70,Spice Bites,Burgers,Delhi,4.9
71,Star Bites,South Indian,Hyderabad,3.8
72,Fresh Hub,Sushi,Hyderabad,3.9
73,Golden Cafe,Sushi,Kolkata,4.4
74,Bombay Corner,Thai,Kolkata,4.7
75,Golden Express,Sushi,Kolkata,3.8
76,Golden Cafe,Desserts,Ahmedabad,4.8
77,Urban Cafe,Biryani,Pune,3.5
78,Desi Corner,Desserts,Hyderabad,3.9
79,Fresh Delight,Sushi,Chennai,3.4
80,Classic Junction,Continental,Mumbai,4.3
81,Taste Point,North Indian,Jaipur,2.8
82,Taste Kitchen,Burgers,Hyderabad,3.0
83,Urban Kitchen,Burgers,Jaipur,3.8
84,Bombay Point,Chinese,Delhi,2.6
85,Urban Express,Chinese,Chennai,3.4
86,Bombay Hub,Pizza,Chennai,4.5
87,Royal Point,Continental,Surat,4.8
88,Royal Corner,Thai,Bangalore,3.7
89,Bombay Bites,Desserts,Chennai,2.6
90,Bombay Delight,South Indian,Mumbai,4.8
91,Urban Corner,Continental,Kolkata,4.8
92,Royal Hub,Desserts,Mumbai,4.1
93,Desi Kitchen,Burgers,Jaipur,2.6
94,Star Point,Chinese,Pune,3.8
95,Fresh Express,North Indian,Kolkata,4.9
96,Bombay Point,Sushi,Delhi,3.1
97,Taste Delight,Chinese,Bangalore,3.3
98,Classic Point,North Indian,Jaipur,3.5
99,Royal Delight,Sushi,Kolkata,4.4
100,Golden Express,Thai,Jaipur,3.0
